Timestamp,What is your name?,What experiment did you do?,How mentally demanding was the task?,How physically demanding was the task?,How hurried or rushed was the pace of the task?,How successful were you in accomplishing what you were asked to do?,How hard did you have to work to accomplish your level of performance?,"How insecure, discouraged, irritated, stressed, and annoyed were you?"
2025/04/23 11:25:03 am EET,part4,Proovit assembly,8,6,8,3,8,8
2025/04/23 11:25:59 am EET,part4,Palletizing of weights,4,8,4,2,8,2
2025/04/23 12:14:33 pm EET,part5,Proovit assembly,3,4,2,7,5,2
2025/04/23 12:29:01 pm EET,part5,Palletizing of weights,4,7,4,7,7,5
2025/04/23 2:41:53 pm EET,part9,Proovit assembly,7,4,3,2,6,2
2025/04/23 2:56:53 pm EET,part9,Palletizing of weights,2,7,3,1,7,3
2025/04/30 11:45:17 am EEST,part10,Proovit assembly,7,3,1,2,1,1
2025/04/30 11:45:57 am EEST,part10,Palletizing of weights,1,6,1,2,4,1
2025/04/30 12:49:56 pm EEST,part7,Proovit assembly,2,3,6,2,3,1
2025/04/30 12:59:35 pm EEST,part7,Palletizing of weights,2,4,3,3,3,1
2025/04/30 2:41:47 pm EEST,part2,Proovit assembly,3,3,4,2,2,2
2025/04/30 2:56:24 pm EEST,part2,Palletizing of weights,2,7,4,2,4,2
2025/04/30 5:02:11 pm EEST,part3,Proovit assembly,3,5,2,2,6,3
2025/04/30 5:02:58 pm EEST,part3,Palletizing of weights,4,7,5,3,7,3
2025/05/06 11:44:20 am EEST,part1,Proovit assembly,3,6,3,3,4,1
2025/05/06 12:04:04 pm EEST,part1,Palletizing of weights,4,7,4,2,6,2
2025/05/06 12:54:26 pm EEST,part8,Proovit assembly,3,4,2,4,3,5
2025/05/06 1:08:14 pm EEST,part8,Palletizing of weights,2,7,2,8,6,1
2025/05/06 3:56:39 pm EEST,part6,Proovit assembly,2,3,4,3,3,1
2025/05/06 4:14:13 pm EEST,part6,Palletizing of weights,4,8,2,4,8,2
